party_id,date,manifesto_id,md5sum_text,title
181310,199906,181310_199906,18ff9f44badefcc17022f6577a4b7d86,"Together, fighting for change. A better life for all. 1999 manifesto"
181410,199906,181410_199906,916c0f99f335523beffdbf93301d41e1,Fight back for a better future. The Democratic Party's plan for South Africa
181910,199906,181910_199906,9df290909b6fe83b732bad1fb12dac5e,Election manifesto. Make South Africa governable
181310,200404,181310_200404,f5d23eaaebfc56d62261e4407177ab2d,A people's contract to create work and fight poverty. Manifesto 2004
181411,200404,181411_200404,10b04d7dde544fd037a19176cc768966,Because South Africa deserves better. A better South Africa
181910,200404,181910_200404,fe992ff36012782f86faddba0833007f,IFP national manifesto. Real development now: let’s make a difference – together
181310,200904,181310_200904,b3d058c58e1d09cfeb3f2fbc83e7d225,Working together we can do more. 2009 manifesto
181411,200904,181411_200904,659cde77414d743536ca8edc26277eeb,DA manifesto. Election 2009
181420,200904,181420_200904,f6649a37118e8968ce14050d1cc27e39,A new agenda for change and hope for all. 2009 election manifesto
181910,200904,181910_200904,6ba358f3f2c1fc5ee8981f6105f1b57f,National manifesto. What we offer the voters of South Africa
181210,201405,181210_201405,2e16c40473139b11f9c338a3d74b41b7,EFF elections manifesto: nNw is the time for economic freedom
181310,201405,181310_201405,6164bf5efbb754dbed19e619cfcfc5ed,Together we move South Africa forward. 2014 eleciton manifesto
181411,201405,181411_201405,f1421c25fb0ff6b3d2614298f6343ffe,"Together for change, together for jobs. Manifesto. Election 2014"
181420,201405,181420_201405,027553852ebe462baa23021fd483238e,Congress of the people manifesto
181910,201405,181910_201405,a65f01600d24bcc929b7c573cc42819e,National election manifesto of the Inkatha Freedom Party
